infinitive,past_simple,past_participle,level,category,description
bind,bound,bound,Intermediate,Action & Impact,"To 'bind' is to tie or fasten something tightly. It implies restriction, connection, or obligation (legally binding). It can refer to physical ropes or abstract promises. Bookbinding is a specific craft associated with it. It suggests creating a strong, often unbreakable, link between elements."
bite,bit,bitten,Beginner,Action & Impact,"To 'bite' is to use the teeth to cut into or through something. It is a primal action used for eating or defense. It can also imply a sharp, stinging sensation (the cold bites). Idiomatically, 'biting off more than you can chew' refers to taking on too much. It is an aggressive or consumptive action."
bleed,bled,bled,Intermediate,Daily Life,"To 'bleed' is to lose blood from the body as a result of injury or illness. It signifies vulnerability, pain, or sacrifice. Metaphorically, it can mean losing resources or money ('the company is bleeding cash'). It is a visceral verb often associated with medical or dramatic contexts."
blow,blew,blown,Beginner,Action & Impact,"To 'blow' is to create a current of air. It applies to the wind, human breath, or mechanical devices. It can mean to explode (blow up) or to miss an opportunity (blow it). It represents the movement of air and the force it carries. It is essential for describing weather and physical exertion."
breed,bred,bred,Expert,Daily Life,"To 'breed' is to mate and produce offspring (animals). It also means to rear or train someone in a specific way ('born and bred'). Metaphorically, it suggests that a situation produces a certain result ('familiarity breeds contempt'). It relates to lineage, reproduction, and biological origins."
broadcast,broadcast,broadcast,Intermediate,Communication,"To 'broadcast' means to transmit a programme or some information by radio or television. Originally, it meant to scatter seeds over a wide area. It implies disseminating information to a large, undefined audience. It is a key verb in media and technology. Often misused with '-ed', the irregular form remains 'broadcast'."
build,built,built,Beginner,Action & Impact,"To 'build' is to construct something by putting parts or material together over a period of time. It implies structure, planning, and creation. It applies to physical buildings, software, or abstract concepts like trust or a career. It is the opposite of destroy and suggests progress."
burn,burnt/burned,burnt/burned,Beginner,Action & Impact,"To 'burn' is to be on fire or to destroy something by fire. It produces heat, light, and irreversible damage. It can also refer to a physical sensation of heat or energy consumption (burning calories). Both 'burnt' and 'burned' are accepted, with 'burnt' often acting as the adjective."
burst,burst,burst,Intermediate,Action & Impact,"To 'burst' is to break open or apart suddenly and violently, especially as a result of an impact or internal pressure. It implies a sudden release of energy or emotion (burst into tears). It is a dynamic verb that describes an abrupt change of state from contained to released."
bust,bust,bust,Intermediate,Action & Impact,"To 'bust' is an informal verb meaning to break, smash, or arrest. It implies a forceful or clumsy action. 'Busted' is often used as an adjective for broken things. It can also mean to catch someone doing something wrong. It is common in slang and casual conversation."
cast,cast,cast,Expert,Action & Impact,"To 'cast' is to throw something forcefully in a specified direction. It is used in fishing (casting a line), magic (casting a spell), or theatre (casting actors). It implies projection and selection. It is a versatile verb found in many idioms ('cast a shadow', 'cast a vote')."
catch,caught,caught,Beginner,Action & Impact,"To 'catch' means to intercept and hold something which has been thrown, propelled, or dropped. It implies speed and reaction. It can also mean to contract an illness (catch a cold) or to understand something. It is the opposite of 'throw' and suggests successful capture."
cling,clung,clung,Intermediate,Movement,"To 'cling' is to hold on tightly to something or someone. It implies desperation, affection, or physical adhesion (static cling). It can be used physically (clinging to a rock) or emotionally (clinging to the past). It suggests a refusal to let go."
clothe,clad/clothed,clad/clothed,Expert,Daily Life,"To 'clothe' is to provide with clothes or to dress. 'Clad' is the archaic or literary past form, often used as an adjective (iron-clad). It implies covering or protection. It is used in formal descriptions of appearance or provision of necessities."
cost,cost,cost,Beginner,Daily Life,"To 'cost' is to require the payment of a specified sum of money before it can be acquired or done. It implies value, sacrifice, or consequence. It can be used metaphorically ('it cost him his job'). It is a stative verb essential for transactions and decision making."
creep,crept,crept,Intermediate,Movement,"To 'creep' is to move slowly and carefully in order to avoid being heard or noticed. It implies stealth, fear, or slowness. It can also refer to the growth of plants or a feeling of unease ('it gives me the creeps'). It describes movement close to the ground."
cut,cut,cut,Beginner,Action & Impact,"To 'cut' is to make an opening, incision, or wound in something with a sharp-edged tool or object. It implies separation, reduction, or editing. It is a sharp, decisive action. It forms numerous phrasal verbs like 'cut off', 'cut down', and 'cut in'. It is one of the most common verbs."
deal,dealt,dealt,Intermediate,Communication,"To 'deal' means to distribute cards, or to take action with respect to a thing or person. It implies handling a situation, trading, or managing a problem ('deal with it'). It is central to games, business, and conflict resolution. It suggests interaction and transaction."
dig,dug,dug,Beginner,Action & Impact,"To 'dig' is to break up and move earth with a tool or machine, or with hands. It implies searching, excavation, or hard work. Metaphorically, it can mean looking for information ('digging up the truth'). It connects to the ground and hidden things."
dive,dove/dived,dove/dived,Intermediate,Movement,"To 'dive' is to plunge head first into water. It implies a sudden descent or immersion. It can also mean to move quickly towards something or to drop in value. 'Dove' is common in American English, while 'dived' is standard in British English. It suggests exploring depths."
draw,drew,drawn,Beginner,Action & Impact,"To 'draw' is to produce a picture or diagram by making lines and marks. It also means to pull or drag something (drawing a curtain, drawing a weapon). It implies creativity or physical tension. It is a versatile verb combining art and physical movement."
dream,dreamt/dreamed,dreamt/dreamed,Beginner,Communication,"To 'dream' is to experience a series of images, events, and feelings in the mind during sleep. It also means to aspire or hope for something. 'Dreamt' is the traditional irregular form, popular in British English. It connects to the subconscious and ambition."
drink,drank,drunk,Beginner,Daily Life,"To 'drink' is to take liquid into the mouth and swallow. It is essential for survival. It can also refer specifically to consuming alcohol. The distinction between 'drank' (past) and 'drunk' (participle) is a common grammar point. It is a primary biological function."
drive,drove,driven,Beginner,Movement,"To 'drive' is to operate and control the direction and speed of a motor vehicle. It implies force, motivation, and travel. It can be used metaphorically to mean compelling someone to do something ('drive someone crazy'). It suggests forward momentum and control."
dwell,dwelt/dwelled,dwelt/dwelled,Expert,Daily Life,"To 'dwell' means to live in or at a specified place. Historically common, it is now literary or formal. It also means to think, speak, or write at length about something ('dwell on the past'). It implies permanence or obsession."
fall,fell,fallen,Beginner,Movement,"To 'fall' is to move downwards quickly and without control, from a higher to a lower level. It implies gravity, accident, or loss of status. It forms many idioms like 'fall in love', 'fall apart'. It is a key verb for describing unintended movement."
feed,fed,fed,Beginner,Daily Life,"To 'feed' is to give food to a person or animal. It implies care, provision, and nourishment. It can also mean to supply a machine with material. It represents the act of sustaining life or function. It creates a relationship between provider and receiver."
fight,fought,fought,Beginner,Action & Impact,"To 'fight' is to take part in a violent struggle involving the exchange of physical blows or the use of weapons. It implies conflict, resistance, and defense. It can be physical or metaphorical (fighting for rights). It suggests an active struggle against opposition."
fit,fit/fitted,fit/fitted,Intermediate,Daily Life,"To 'fit' is to be of the right shape and size for. It implies suitability, comfort, and correctness. In American English, 'fit' is often irregular for the past tense; British English tends to use 'fitted'. It is essential for clothing and mechanics."
flee,fled,fled,Intermediate,Movement,"To 'flee' is to run away from a place or situation of danger. It implies urgency, fear, and escape. It is a more dramatic synonym for 'run away'. It suggests a desperate need for safety. It is often used in news regarding refugees or crime."
fling,flung,flung,Expert,Action & Impact,"To 'fling' is to throw or hurl something forcefully and carelessly. It implies strong emotion (anger, abandon) or lack of precision. It is a vivid verb for sudden, energetic movement. It suggests casting something aside violently."
fly,flew,flown,Beginner,Movement,"To 'fly' is to move through the air using wings or aircraft. It implies freedom, speed, and overcoming gravity. It is used for birds, planes, and metaphorical speed ('time flies'). The forms 'flew' and 'flown' are distinct and important to master."
forbid,forbade,forbidden,Intermediate,Communication,"To 'forbid' is to refuse to allow something. It implies authority, rules, and prohibition. It is the opposite of 'allow' or 'permit'. It is a strong verb often used in legal, parental, or official contexts. The past form 'forbade' is formal."
forecast,forecast,forecast,Expert,Communication,"To 'forecast' is to predict or estimate a future event or trend. It is commonly used in weather and economics. Like 'cast', it often remains unchanged in the past tense. It implies analysis and looking ahead. It is professional and specific."
foresee,foresaw,foreseen,Expert,Communication,"To 'foresee' is to be aware of beforehand; to predict. It implies vision, intuition, or wisdom. It is often used in negative contexts ('I didn't foresee this problem'). It suggests planning and anticipation of the future."
forget,forgot,forgotten,Beginner,Communication,"To 'forget' is to fail to remember. It implies a lapse in memory or negligence. It is a common human error. It contrasts with 'remember'. It can refer to facts, people, or duties. The participle 'forgotten' is used frequently as an adjective."
forgive,forgave,forgiven,Intermediate,Communication,"To 'forgive' is to stop feeling angry or resentful towards someone for an offense, flaw, or mistake. It implies mercy, reconciliation, and emotional release. It is a powerful social and spiritual concept. It restores a relationship."
freeze,froze,frozen,Beginner,Daily Life,"To 'freeze' is to turn into ice or harden as a result of extreme cold. It can also mean to become motionless with fear. It implies a change of state from liquid to solid or movement to stillness. It is essential for weather and cooking."
grind,ground,ground,Intermediate,Action & Impact,"To 'grind' is to reduce something to small particles or powder by crushing it. It implies friction, hard work, and repetition ('the daily grind'). It is used for coffee, grain, or gears. It suggests a slow, wearing process."
grow,grew,grown,Beginner,Daily Life,"To 'grow' is to undergo natural development by increasing in size and changing physically. It applies to plants, animals, people, and economies. It implies progress, life, and expansion. It is a fundamental verb of biology and business."
hang,hung,hung,Intermediate,Action & Impact,"To 'hang' is to suspend or be suspended from above with the lower part dangling free. Note: When referring to execution by neck, the regular form 'hanged' is used. 'Hung' applies to pictures, clothes, etc. It implies gravity and suspension."
hide,hid,hidden,Beginner,Action & Impact,"To 'hide' is to put or keep out of sight; to conceal from the view or notice of others. It implies secrecy, protection, or fear. It is the core action of the game 'hide and seek'. It contrasts with 'show' or 'reveal'."
hit,hit,hit,Beginner,Action & Impact,"To 'hit' is to bring one's hand or a tool or weapon into contact with someone or something quickly and forcefully. It implies impact, violence, or collision. It is a simple, dynamic verb that remains unchanged in all forms."
hold,held,held,Beginner,Action & Impact,"To 'hold' is to grasp, carry, or support with one's arms or hands. It implies possession, control, or embrace. It can be physical (holding a cup) or abstract (holding a meeting, holding a belief). It is a verb of stability and retention."
hurt,hurt,hurt,Beginner,Daily Life,"To 'hurt' is to cause physical pain or injury to. It can also refer to emotional pain. It implies damage and suffering. It is a stative verb that remains unchanged in the past. It is essential for describing health and feelings."
keep,kept,kept,Beginner,Action & Impact,"To 'keep' is to have or retain possession of. It implies continuity, storage, and refusal to give back. It can also mean to continue doing something ('keep going'). It is a versatile verb of maintenance and possession."
kneel,knelt,knelt,Intermediate,Movement,"To 'kneel' is to fall or rest on the knees. It implies submission, prayer, or a lower position. It is a specific posture verb. The regular form 'kneeled' exists but 'knelt' is more common in irregular verb lists. It is a gesture of respect."
knit,knit/knitted,knit/knitted,Intermediate,Action & Impact,"To 'knit' is to make a garment by interlocking loops of wool or other yarn. It can also mean to unite or join closely. It implies craft, patience, and creation. It can be used metaphorically ('a close-knit community')."
lay,laid,laid,Intermediate,Action & Impact,"To 'lay' is to put something down gently or carefully. It requires a direct object (lay the book down). It is often confused with 'lie' (to recline). It implies placement and preparation (laying the table). It is a transitive verb."
lead,led,led,Intermediate,Movement,"To 'lead' is to show the way to others by going in front of or beside them. It implies authority, guidance, and direction. It applies to physical paths or abstract leadership (leading a team). It contrasts with 'follow'."
lean,leant/leaned,leant/leaned,Intermediate,Movement,"To 'lean' is to be in or move into a sloping position. It implies reliance, support, or a lack of verticality. 'Leant' is common in UK English, 'leaned' in US. It suggests resting against something for support."
leap,leapt/leaped,leapt/leaped,Intermediate,Movement,"To 'leap' is to jump or spring a long way, to a great height, or with great force. It implies energy, suddenness, and distance. It is more dramatic than 'jump'. It suggests overcoming an obstacle or seizing an opportunity."
lend,lent,lent,Beginner,Action & Impact,"To 'lend' is to grant to someone the use of something on the understanding that it shall be returned. It implies temporary transfer and trust. It is the opposite of 'borrow'. It is essential for financial and social transactions."
let,let,let,Beginner,Daily Life,"To 'let' is not to prevent or forbid; to allow. It implies permission and passivity. It is often used in imperatives ('let's go'). It creates a possibility for an action to happen. It is unchanged in all forms."
lie,lay,lain,Intermediate,Daily Life,"To 'lie' is to be in or assume a horizontal or resting position. It does not take a direct object ('I need to lie down'). It is distinct from 'lie' (to tell a falsehood), which is regular. Confusingly, its past tense is 'lay'."
light,lit/lighted,lit/lighted,Beginner,Action & Impact,"To 'light' is to provide with light or lighting; to ignite. It implies illumination or starting a fire. 'Lit' is the common irregular form. It is used for rooms, fires, or cigarettes. It brings visibility or heat."
lose,lost,lost,Beginner,Action & Impact,"To 'lose' is to become unable to find something or someone. It also means to fail to win a game or contest. It implies deprivation, failure, or misplacement. It is the opposite of 'find' or 'win'. It carries a negative connotation."
mean,meant,meant,Beginner,Communication,"To 'mean' is to intend to convey, indicate, or refer to. It relates to definition, intention, and significance. It connects a sign or word to its concept. It is essential for explanation and understanding ('What does this mean?')."
mow,mowed,mown/mowed,Intermediate,Action & Impact,"To 'mow' is to cut down grass with a machine. It is a specific agricultural or gardening verb. The past participle 'mown' is often used as an adjective (newly mown grass). It implies maintenance of land."
overtake,overtook,overtaken,Intermediate,Movement,"To 'overtake' is to catch up with and pass while travelling in the same direction. It implies speed, competition, and passing. It is a common driving term. Metaphorically, it can mean to be overwhelmed by a feeling or event."
partake,partook,partaken,Expert,Daily Life,"To 'partake' is to join in an activity or to eat/drink something. It is a formal verb. It implies sharing and participation. It is often used in religious or ceremonial contexts ('partake in the meal')."
plead,pled/pleaded,pled/pleaded,Expert,Communication,"To 'plead' is to make an emotional appeal. In law, it means to state guilt or innocence. 'Pled' is a common irregular form in American English/Law. It implies desperation or formal declaration."
prove,proved,proven/proved,Intermediate,Communication,"To 'prove' is to demonstrate the truth or existence of something by evidence or argument. 'Proven' is the common adjective/participle. It implies validation, logic, and certainty. It is a key scientific and legal verb."
quit,quit,quit,Beginner,Action & Impact,"To 'quit' is to leave usually permanently; to stop doing something. It implies resignation or cessation. It is informal and final. It is often used for jobs or habits ('quit smoking'). It remains unchanged in the past."
rid,rid,rid,Intermediate,Action & Impact,"To 'rid' is to make someone or something free of a troublesome or unwanted person or thing. It is usually used in the phrase 'get rid of'. It implies cleansing, removal, and relief."
ride,rode,ridden,Beginner,Movement,"To 'ride' is to sit on and control the movement of an animal or vehicle (bike, horse). It implies travel, balance, and control. It contrasts with 'drive' (used for cars). It suggests a journey."
ring,rang,rung,Beginner,Communication,"To 'ring' is to make a clear resonant or vibrating sound. It refers to bells, phones, or alarms. It implies alerting or signaling. It is a primary verb for auditory attention."
rise,rose,risen,Intermediate,Movement,"To 'rise' is to move from a lower position to a higher one. It does not take a direct object (the sun rises). It implies ascent, increase, or standing up. It contrasts with 'raise' (which is regular and transitive)."
rive,rived,riven,Expert,Action & Impact,"To 'rive' is to split or tear apart violently. It is archaic or literary. 'Riven' implies being torn apart by conflict. It suggests deep division."
run,ran,run,Beginner,Movement,"To 'run' is to move at a speed faster than a walk. It implies speed, energy, and urgency. It can also refer to managing a business or the function of a machine. It is a core verb of motion."
saw,sawed,sawn/sawed,Intermediate,Action & Impact,"To 'saw' is to cut something using a saw. It implies manual labor and construction. The participle 'sawn' is common in British English. It is a specific type of cutting action."
seek,sought,sought,Intermediate,Action & Impact,"To 'seek' is to attempt to find something. It is a more formal synonym for 'look for'. It implies a quest, a goal, or a desire for something intangible (seek justice, seek advice)."
set,set,set,Beginner,Action & Impact,"To 'set' is to put, lay, or stand something in a specified place or position. It has many meanings including adjusting clocks, determining rules, or the sun going down. It remains unchanged in all forms. It implies establishing a state."
sew,sewed,sewn/sewed,Intermediate,Action & Impact,"To 'sew' is to join, fasten, or repair something by making stitches with a needle and thread. It implies craft and repair. 'Sewn' is the common participle. It is a domestic and industrial skill."
shake,shook,shaken,Beginner,Action & Impact,"To 'shake' is to move an object up and down or from side to side with rapid, forceful, jerky movements. It implies instability, mixing, or fear (trembling). It is used in greetings (shake hands) and emotions."
shear,shore/sheared,shorn/sheared,Expert,Action & Impact,"To 'shear' is to cut the wool off a sheep or other animal. It implies harvesting or cutting close. 'Shorn' is often used metaphorically to mean stripped of something. It is an agricultural verb."
shed,shed,shed,Intermediate,Action & Impact,"To 'shed' is to allow leaves, hair, skin, etc., to fall off naturally. It can also mean to get rid of. It implies natural loss or intentional removal. It remains unchanged in the past."
shine,shone,shone,Beginner,Daily Life,"To 'shine' is to give out a bright light. It implies brilliance, polish, or excellence. It can be literal (sun) or metaphorical (talent). It creates visibility and beauty."
shoe,shod,shod,Expert,Daily Life,"To 'shoe' is to fit a horse with a shoe. It is a specific trade verb (farrier). 'Shod' implies being equipped with footwear. It is rarely used in modern general conversation except as an adjective."
